epb_exporter_id,company_name,sector_tags,factory_address,thana,district,n_observed_codes,n_observed_hs4,n_hs_chapters,capability_breadth_index,source_registry,source_url,source_retrieved_date,evidence_status,confidence_grade,privacy_scope,observed_hs4_count,observed_hs2_count,capability_breadth_percentile,multi_chapter_observed,capability_interpretation,inference_limit
4244,Paul Sourcing,Footwear;Bag,"124, Hazaribagh Tannery Area",Hazaribag,Dhaka,5,5,4,0.5885,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4244,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,5,4,0.7857142857142857,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4671,Foot & Feet Leather Goods & Footwear Ltd.,Footwear;Leather Goods,"Chawkbazar, Kalika Prasad",Bhairab,Kishorganj,2,2,2,0.3608,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4671,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,2,2,0.4107142857142857,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
1526,Export Trade Associate,Jute Goods,"129/4/1, Distilary Road, Gandaria",Sutrapur,Dhaka,4,4,2,0.5286,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1526,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,4,2,0.6964285714285714,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4199,Global Jute Trading Ltd.,Jute;Jute Goods,"43, Dilkusha C/A",Motijheel,Dhaka,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4199,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
1828,Jute & Bags Export Corporation,Jute;Jute Goods,"99, Motijheel C/A",Motijheel,Dhaka,2,2,2,0.3608,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1828,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,2,2,0.4107142857142857,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
1280,JARA FOOTWEAR LIMITED,Leather Shoe;Leather;Leather Gloves;Leather Goods;Leather Bags,"43/1, Sher-E-Bangla Road",Hazaribag,Dhaka,12,12,3,0.8425,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1280,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,12,3,0.9642857142857143,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
566,Leather Industries of Bangladesh Ltd.,Leather;Leather Goods,54/1 Sher-e-Bangla Road,Hazaribag,Dhaka,6,6,3,0.6392,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/566,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,6,3,0.875,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4057,RFL Plastics Ltd.,PVC Pipe;Plastic Household;Plastic Furniture,"Bagpara, Palash",Polash,Narsingdi,6,6,1,0.6392,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4057,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,6,1,0.875,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
5536,Delta Pharma Limited,Pharmaceutical,Tarakandi,Pakundia,Kishorganj,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/5536,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
1051,The ACME Laboratories Ltd.,Pharmaceutical,Dhulivita,Dhamrai,Dhaka,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1051,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4792,B. Plastic Industries,Plastic Goods,"Plot-19, EPZ",Kotowali Model,Comilla,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4792,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
549,BANGA PLASTIC INTERNATIONAL LTD,Plastic Hanger;Plastic Furniture,"Bagpara, Palash, Narshingdi",Polash,Narsingdi,3,3,2,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/549,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,2,0.5535714285714286,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4701,Absolute Plastics Ltd,Plastic Household Apparel,"Plot A-27, BSCIC Ruhitpur, Keraniganj",Keranigonj Model,Dhaka,3,3,1,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4701,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,1,0.5535714285714286,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
2480,Durable Plastic Ltd,Plastic Household;Plastic Furniture;Melamine,"RFL Industrial Park, Plot-6, Mulgaon Kaligonj",Kaligonj,Gazipur,8,8,6,0.7217,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/2480,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,8,6,0.9285714285714286,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
3525,STAR-X PLASTIC INDUSTRIES,Plastic Houseware,"Plot A28, BSCIC Industrial Area",Keranigonj Model,Dhaka,1,1,1,0.2277,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/3525,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,1,1,0.19642857142857142,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
4881,Bengal Plastic Products Limited,Plastic Products,"Domna, Kashimpur",Kashimpur,Gazipur,3,3,2,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/4881,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,2,0.5535714285714286,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
2374,BP Footwear & Industries,Sandal;Leather Goods;Shoe,"16/2, 16/3, Porabari",Savar Model,Dhaka,3,3,2,0.4553,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/2374,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,3,2,0.5535714285714286,True,observed registrations span multiple HS chapters; investigate transferable capability,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
1642,APPAREL EXPORT LTD,Woven Apparel,2/C Darussalam Road,Darussalam,Dhaka,17,17,1,0.9494,Export Promotion Bureau (Bangladesh),https://edb.epb.gov.bd/exporter/1642,2026-09-03,observed_public_registry,A,company/factory data only; personal contacts excluded,17,1,1.0,False,observed registrations concentrated in one HS chapter,"EPB registration indicates observed product linkage; it does not prove current capacity, scale, destination, or certification."
